start	end	text
813000	820000	We have some history values that continues.
820000	829000	Then we are of a genome of DNA as a sequence.
829000	835000	Yeah, yeah, well, it's distribution over a finite alphabet.
835000	838000	I want to be more accurate.
838000	851000	We somehow have a sequence of length is three about three billion and each position is we have four possibilities.
851000	854000	Yes, yes.
854000	859000	If you're talking about a single half lower age, although we see an individual has a statewide.
859000	866000	So they have to seek two genome sequences one from another one from the father.
866000	878000	Okay, so you know, I might have asked their studies last years of my bachelor's studies.
878000	886000	I take it on the sheet of processes for and in no form and have some information.
886000	893000	Okay, we use those for continuous values.
893000	897000	For example, the signal of our speech.
897000	905000	The wave and as a wave, it has a continuous anticon, continuous values, minus one and one.
905000	911000	Okay, but when we are talking about history, it's valid.
912000	916000	I have a list of my knowledge and the two things.
916000	922000	Okay, we can use this version of the known as FFT.
922000	927000	But I'm not sure if I have any.
927000	931000	About how to use.
931000	935000	For truth, they're more about the.
936000	939000	Yeah, yeah.
939000	942000	Well, that's kind of the point about paper in a way.
942000	947000	If it was completely obvious, then it wouldn't be an influential paper.
947000	955000	You know, you've already have read the paper and have information about this.
955000	957000	Yeah, really a long time ago.
957000	964000	And if I remember it in much detail to be honest, I remember thinking it was a cover idea at the time.
964000	971000	You know, Eric Lander comes from the mathematics background and somehow.
971000	973000	Somehow it's interesting.
973000	981000	Just read some paper from him in biology, which has some notion in math.
981000	991000	I'll probably make sure to read all the papers for our next.
991000	994000	Yeah, yeah, I would worry too much about the Fourier transform.
994000	997000	I mean, it's, I think it's, it's an idea we might want to use.
997000	998000	We might not.
998000	1001000	I'm not sure yet, you know.
1001000	1007000	It seems to make the original and agreeing algorithm more efficient.
1007000	1016000	I mean, maybe it's in some sense a way of compressing the state space to make the computations more efficient.
1016000	1025000	So that might be useful, even if we're using a different approach than a hit Markov model.
1025000	1034000	Because there's still going to be a very large state space to consider.
1034000	1049000	Even, even when we are, we are think of it as a, a, a, a, when we are think of this new version, which is based on a Fourier transformer.
1049000	1058000	Yeah, well, I don't think the Fourier trans, the Fourier transform doesn't change the exponential complexity.
1058000	1063000	If the vine degree algorithm, if I remember correctly, although I don't remember in a lot of detail.
1063000	1066000	It just means you can ignore.
1066000	1077000	I think it's, if I remember correctly, so basically the land degree algorithm is exponential and number of haploid sequences.
1077000	1082000	So it's like two to the power of whatever.
1082000	1088000	Two to the power of the number of haploid sequences times the length of the, the genome.
1088000	1105000	So, you know, if you have a lot of, um, if you have a lot of, if you have a large pedigree and you have, um, a lot of markers, genetic markers, then that's a huge space, really, a possible inheritance factors.
1105000	1111000	But some of them are much less likely than others.
1111000	1131000	And I think what the, if I remember correctly, um, what the Fourier transform does is it enables you to sort of ignore, um, ignore a lot of the state space that is basically the same.
1131000	1138000	To some kind of group transformation select some kind of symmetry.
1138000	1153000	It's exploiting some kind of symmetry in the space space to reduce the, um, number of computations, one has to perform by sort of constant, some sort of a constant factor, but it's not changing the complexity class.
1153000	1169000	So you still have an exponentially large state space, but you're only looking at some fraction of it instead of the whole of it in the naive implementation of the H man.
1169000	1176000	And by doing so, it somehow reduced the state spaces.
1176000	1183000	And by doing so, it somehow reduced the state spaces.
